date,electric vehicles
2015-01-01,67
2015-01-02,19
2015-01-03,41
2015-01-04,20
2015-01-05,60
2015-01-06,52
2015-01-07,60
2015-01-08,26
2015-01-09,26
2015-01-10,29
2015-01-11,39
2015-01-12,59
2015-01-13,33
2015-01-14,50
2015-01-15,59
2015-01-16,17
2015-01-17,10
2015-01-18,79
2015-01-19,59
2015-01-20,50
2015-01-21,17
2015-01-22,17
2015-01-23,26
2015-01-24,48
2015-01-25,20
2015-01-26,49
2015-01-27,25
2015-01-28,50
2015-01-29,33
2015-01-30,68
2015-01-31,29
2015-02-01,19
2015-02-02,57
2015-02-03,41
2015-02-04,33
2015-02-05,25
2015-02-06,43
2015-02-07,49
2015-02-08,39
2015-02-09,66
2015-02-10,58
2015-02-11,58
2015-02-12,42
2015-02-13,26
2015-02-14,30
2015-02-15,90
2015-02-16,43
2015-02-17,26
2015-02-18,67
2015-02-19,42
2015-02-20,78
2015-02-21,10
2015-02-22,10
2015-02-23,65
2015-02-24,58
2015-02-25,16
2015-02-26,100
2015-02-27,68
2015-02-28,48
2015-03-01,19
2015-03-02,33
2015-03-03,66
2015-03-04,66
2015-03-05,41
2015-03-06,26
2015-03-07,29
2015-03-08,29
2015-03-09,74
2015-03-10,66
2015-03-11,41
2015-03-12,58
2015-03-13,17
2015-03-14,39
2015-03-15,38
2015-03-16,33
2015-03-17,82
2015-03-18,41
2015-03-19,74
2015-03-20,33
2015-03-21,29
2015-03-22,57
2015-03-23,33
2015-03-24,33
2015-03-25,72
2015-03-26,66
2015-03-27,34
2015-03-28,10
2015-03-29,30
2015-03-30,74
2015-03-31,67
2015-04-01,34
2015-04-02,53
2015-04-03,47
2015-04-04,80
2015-04-05,40
2015-04-06,26
2015-04-07,41
2015-04-08,66
2015-04-09,83
2015-04-10,26
2015-04-11,59
2015-04-12,20
2015-04-13,58
2015-04-14,33
2015-04-15,33
2015-04-16,82
2015-04-17,78
2015-04-18,20
2015-04-19,38
2015-04-20,81
2015-04-21,100
2015-04-22,66
2015-04-23,67
2015-04-24,52
2015-04-25,20
2015-04-26,29
2015-04-27,41
2015-04-28,72
2015-04-29,49
2015-04-30,60
2015-05-01,92
2015-05-02,69
2015-05-03,19
2015-05-04,50
2015-05-05,57
2015-05-06,82
2015-05-07,25
2015-05-08,35
2015-05-09,20
2015-05-10,40
2015-05-11,33
2015-05-12,24
2015-05-13,58
2015-05-14,42
2015-05-15,43
2015-05-16,40
2015-05-17,29
2015-05-18,32
2015-05-19,24
2015-05-20,49
2015-05-21,58
2015-05-22,26
2015-05-23,20
2015-05-24,30
2015-05-25,43
2015-05-26,24
2015-05-27,49
2015-05-28,25
2015-05-29,51
2015-05-30,40
2015-05-31,58
2015-06-01,49
2015-06-02,65
2015-06-03,91
2015-06-04,43
2015-06-05,44
2015-06-06,20
2015-06-07,30
2015-06-08,32
2015-06-09,64
2015-06-10,41
2015-06-11,58
2015-06-12,43
2015-06-13,10
2015-06-14,39
2015-06-15,49
2015-06-16,80
2015-06-17,82
2015-06-18,33
2015-06-19,17
2015-06-20,30
2015-06-21,20
2015-06-22,24
2015-06-23,57
2015-06-24,25
2015-06-25,59
2015-06-26,43
2015-06-27,80
2015-06-28,39
2015-06-29,17
2015-06-30,25
2015-07-01,25
2015-07-02,42
2015-07-03,27
2015-07-04,20
2015-07-05,41
2015-07-06,65
2015-07-07,49
2015-07-08,41
2015-07-09,25
2015-07-10,17
2015-07-11,30
2015-07-12,40
2015-07-13,25
2015-07-14,25
2015-07-15,33
2015-07-16,42
2015-07-17,62
2015-07-18,21
2015-07-19,53
2015-07-20,53
2015-07-21,42
2015-07-22,66
2015-07-23,33
2015-07-24,17
2015-07-25,30
2015-07-26,20
2015-07-27,49
2015-07-28,16
2015-07-29,24
2015-07-30,49
2015-07-31,26
2015-08-01,49
2015-08-02,30
2015-08-03,33
2015-08-04,49
2015-08-05,42
2015-08-06,34
2015-08-07,70
2015-08-08,30
2015-08-09,29
2015-08-10,49
2015-08-11,8
2015-08-12,25
2015-08-13,25
2015-08-14,51
2015-08-15,29
2015-08-16,29
2015-08-17,24
2015-08-18,0
2015-08-19,25
2015-08-20,17
2015-08-21,25
2015-08-22,98
2015-08-23,38
2015-08-24,8
2015-08-25,32
2015-08-26,16
2015-08-27,32
2015-08-28,76
2015-08-29,48
2015-08-30,47
2015-08-31,47
2015-09-01,28
2015-09-02,34
2015-09-03,46
2015-09-04,18
2015-09-05,14
2015-09-06,27
2015-09-07,35
2015-09-08,22
2015-09-09,45
2015-09-10,28
2015-09-11,70
2015-09-12,33
2015-09-13,32
2015-09-14,49
2015-09-15,38
2015-09-16,28
2015-09-17,44
2015-09-18,23
2015-09-19,26
2015-09-20,39
2015-09-21,55
2015-09-22,16
2015-09-23,22
2015-09-24,29
2015-09-25,47
2015-09-26,20
2015-09-27,33
2015-09-28,27
2015-09-29,33
2015-09-30,39
2015-10-01,44
2015-10-02,52
2015-10-03,32
2015-10-04,25
2015-10-05,44
2015-10-06,38
2015-10-07,50
2015-10-08,38
2015-10-09,23
2015-10-10,26
2015-10-11,19
2015-10-12,56
2015-10-13,38
2015-10-14,16
2015-10-15,38
2015-10-16,28
2015-10-17,39
2015-10-18,38
2015-10-19,21
2015-10-20,43
2015-10-21,33
2015-10-22,38
2015-10-23,40
2015-10-24,19
2015-10-25,31
2015-10-26,27
2015-10-27,21
2015-10-28,43
2015-10-29,55
2015-10-30,34
2015-10-31,13
2015-11-01,26
2015-11-02,65
2015-11-03,43
2015-11-04,5
2015-11-05,33
2015-11-06,45
2015-11-07,6
2015-11-08,19
2015-11-09,54
2015-11-10,27
2015-11-11,45
2015-11-12,11
2015-11-13,29
2015-11-14,19
2015-11-15,12
2015-11-16,32
2015-11-17,48
2015-11-18,21
2015-11-19,43
2015-11-20,22
2015-11-21,25
2015-11-22,25
2015-11-23,48
2015-11-24,16
2015-11-25,27
2015-11-26,17
2015-11-27,40
2015-11-28,13
2015-11-29,19
2015-11-30,68
2015-12-01,37
2015-12-02,37
2015-12-03,71
2015-12-04,50
2015-12-05,19
2015-12-06,44
2015-12-07,43
2015-12-08,54
2015-12-09,32
2015-12-10,33
2015-12-11,40
2015-12-12,26
2015-12-13,25
2015-12-14,48
2015-12-15,50
2015-12-16,51
2015-12-17,29
2015-12-18,48
2015-12-19,34
2015-12-20,40
2015-12-21,35
2015-12-22,12
2015-12-23,55
2015-12-24,28
2015-12-25,15
2015-12-26,27
2015-12-27,13
2015-12-28,35
2015-12-29,6
2015-12-30,30
2015-12-31,13
2016-01-01,15
2016-01-02,20
2016-01-03,66
2016-01-04,18
2016-01-05,47
2016-01-06,41
2016-01-07,18
2016-01-08,12
2016-01-09,26
2016-01-10,38
2016-01-11,45
2016-01-12,23
2016-01-13,17
2016-01-14,6
2016-01-15,18
2016-01-16,13
2016-01-17,32
2016-01-18,29
2016-01-19,40
2016-01-20,40
2016-01-21,29
2016-01-22,42
2016-01-23,13
2016-01-24,39
2016-01-25,34
2016-01-26,17
2016-01-27,29
2016-01-28,29
2016-01-29,12
2016-01-30,20
2016-01-31,6
2016-02-01,74
2016-02-02,29
2016-02-03,23
2016-02-04,29
2016-02-05,18
2016-02-06,13
2016-02-07,20
2016-02-08,76
2016-02-09,17
2016-02-10,51
2016-02-11,35
2016-02-12,30
2016-02-13,26
2016-02-14,45
2016-02-15,0
2016-02-16,33
2016-02-17,51
2016-02-18,28
2016-02-19,52
2016-02-20,6
2016-02-21,45
2016-02-22,33
2016-02-23,66
2016-02-24,34
2016-02-25,45
2016-02-26,29
2016-02-27,26
2016-02-28,25
2016-02-29,38
2016-03-01,38
2016-03-02,28
2016-03-03,34
2016-03-04,76
2016-03-05,26
2016-03-06,19
2016-03-07,39
2016-03-08,39
2016-03-09,50
2016-03-10,45
2016-03-11,24
2016-03-12,13
2016-03-13,45
2016-03-14,6
2016-03-15,62
2016-03-16,50
2016-03-17,34
2016-03-18,88
2016-03-19,26
2016-03-20,26
2016-03-21,40
2016-03-22,68
2016-03-23,41
2016-03-24,12
2016-03-25,32
2016-03-26,14
2016-03-27,20
2016-03-28,35
2016-03-29,45
2016-03-30,57
2016-03-31,29
2016-04-01,100
2016-04-02,26
2016-04-03,19
2016-04-04,28
2016-04-05,28
2016-04-06,62
2016-04-07,39
2016-04-08,53
2016-04-09,13
2016-04-10,13
2016-04-11,56
2016-04-12,56
2016-04-13,62
2016-04-14,40
2016-04-15,53
2016-04-16,40
2016-04-17,78
2016-04-18,40
2016-04-19,56
2016-04-20,34
2016-04-21,35
2016-04-22,42
2016-04-23,33
2016-04-24,45
2016-04-25,28
2016-04-26,44
2016-04-27,39
2016-04-28,11
2016-04-29,48
2016-04-30,27
2016-05-01,54
2016-05-02,54
2016-05-03,33
2016-05-04,33
2016-05-05,34
2016-05-06,57
2016-05-07,63
2016-05-08,31
2016-05-09,33
2016-05-10,26
2016-05-11,26
2016-05-12,40
2016-05-13,42
2016-05-14,8
2016-05-15,38
2016-05-16,26
2016-05-17,52
2016-05-18,59
2016-05-19,27
2016-05-20,28
2016-05-21,16
2016-05-22,31
2016-05-23,66
2016-05-24,46
2016-05-25,53
2016-05-26,55
2016-05-27,21
2016-05-28,62
2016-05-29,55
2016-05-30,35
2016-05-31,46
2016-06-01,33
2016-06-02,41
2016-06-03,21
2016-06-04,48
2016-06-05,15
2016-06-06,41
2016-06-07,27
2016-06-08,47
2016-06-09,68
2016-06-10,71
2016-06-11,23
2016-06-12,30
2016-06-13,40
2016-06-14,59
2016-06-15,53
2016-06-16,26
2016-06-17,28
2016-06-18,32
2016-06-19,24
2016-06-20,47
2016-06-21,33
2016-06-22,47
2016-06-23,35
2016-06-24,29
2016-06-25,24
2016-06-26,24
2016-06-27,53
2016-06-28,81
2016-06-29,27
2016-06-30,41
2016-07-01,79
2016-07-02,16
2016-07-03,40
2016-07-04,29
2016-07-05,56
2016-07-06,50
2016-07-07,29
2016-07-08,38
2016-07-09,25
2016-07-10,40
2016-07-11,35
2016-07-12,42
2016-07-13,43
2016-07-14,48
2016-07-15,44
2016-07-16,16
2016-07-17,8
2016-07-18,57
2016-07-19,56
2016-07-20,29
2016-07-21,22
2016-07-22,29
2016-07-23,33
2016-07-24,41
2016-07-25,84
2016-07-26,56
2016-07-27,28
2016-07-28,50
2016-07-29,37
2016-07-30,8
2016-07-31,49
2016-08-01,78
2016-08-02,49
2016-08-03,21
2016-08-04,51
2016-08-05,62
2016-08-06,26
2016-08-07,52
2016-08-08,36
2016-08-09,50
2016-08-10,29
2016-08-11,30
2016-08-12,23
2016-08-13,17
2016-08-14,43
2016-08-15,85
2016-08-16,22
2016-08-17,22
2016-08-18,15
2016-08-19,16
2016-08-20,0
2016-08-21,52
2016-08-22,52
2016-08-23,52
2016-08-24,72
2016-08-25,21
2016-08-26,22
2016-08-27,25
2016-08-28,40
2016-08-29,56
2016-08-30,41
2016-08-31,14
2016-09-01,21
2016-09-02,36
2016-09-03,8
2016-09-04,16
2016-09-05,21
2016-09-06,34
2016-09-07,7
2016-09-08,41
2016-09-09,36
2016-09-10,16
2016-09-11,32
2016-09-12,63
2016-09-13,63
2016-09-14,27
2016-09-15,42
2016-09-16,14
2016-09-17,39
2016-09-18,61
2016-09-19,40
2016-09-20,67
2016-09-21,34
2016-09-22,14
2016-09-23,58
2016-09-24,32
2016-09-25,46
2016-09-26,47
2016-09-27,47
2016-09-28,40
2016-09-29,54
2016-09-30,42
2016-10-01,54
2016-10-02,15
2016-10-03,60
2016-10-04,47
2016-10-05,47
2016-10-06,54
2016-10-07,42
2016-10-08,16
2016-10-09,62
2016-10-10,74
2016-10-11,55
2016-10-12,69
2016-10-13,55
2016-10-14,49
2016-10-15,16
2016-10-16,53
2016-10-17,33
2016-10-18,33
2016-10-19,54
2016-10-20,40
2016-10-21,56
2016-10-22,47
2016-10-23,31
2016-10-24,80
2016-10-25,60
2016-10-26,74
2016-10-27,47
2016-10-28,56
2016-10-29,47
2016-10-30,46
2016-10-31,48
2016-11-01,76
2016-11-02,27
2016-11-03,7
2016-11-04,42
2016-11-05,54
2016-11-06,60
2016-11-07,40
2016-11-08,85
2016-11-09,43
2016-11-10,61
2016-11-11,28
2016-11-12,46
2016-11-13,67
2016-11-14,86
2016-11-15,79
2016-11-16,72
2016-11-17,87
2016-11-18,56
2016-11-19,45
2016-11-20,37
2016-11-21,26
2016-11-22,79
2016-11-23,40
2016-11-24,34
2016-11-25,61
2016-11-26,30
2016-11-27,44
2016-11-28,31
2016-11-29,51
2016-11-30,89
2016-12-01,72
2016-12-02,53
2016-12-03,36
2016-12-04,35
2016-12-05,100
2016-12-06,56
2016-12-07,64
2016-12-08,52
2016-12-09,47
2016-12-10,37
2016-12-11,50
2016-12-12,62
2016-12-13,57
2016-12-14,64
2016-12-15,26
2016-12-16,48
2016-12-17,45
2016-12-18,30
2016-12-19,26
2016-12-20,20
2016-12-21,82
2016-12-22,28
2016-12-23,14
2016-12-24,16
2016-12-25,25
2016-12-26,36
2016-12-27,48
2016-12-28,48
2016-12-29,77
2016-12-30,44
2016-12-31,63
2017-01-01,56
2017-01-02,16
2017-01-03,46
2017-01-04,50
2017-01-05,41
2017-01-06,21
2017-01-07,33
2017-01-08,45
2017-01-09,49
2017-01-10,48
2017-01-11,29
2017-01-12,44
2017-01-13,35
2017-01-14,22
2017-01-15,38
2017-01-16,44
2017-01-17,29
2017-01-18,29
2017-01-19,53
2017-01-20,40
2017-01-21,22
2017-01-22,93
2017-01-23,57
2017-01-24,14
2017-01-25,34
2017-01-26,43
2017-01-27,25
2017-01-28,34
2017-01-29,33
2017-01-30,43
2017-01-31,48
2017-02-01,33
2017-02-02,58
2017-02-03,40
2017-02-04,33
2017-02-05,27
2017-02-06,65
2017-02-07,52
2017-02-08,47
2017-02-09,33
2017-02-10,25
2017-02-11,27
2017-02-12,33
2017-02-13,56
2017-02-14,42
2017-02-15,34
2017-02-16,52
2017-02-17,43
2017-02-18,22
2017-02-19,38
2017-02-20,62
2017-02-21,24
2017-02-22,52
2017-02-23,38
2017-02-24,30
2017-02-25,22
2017-02-26,27
2017-02-27,65
2017-02-28,65
2017-03-01,41
2017-03-02,41
2017-03-03,68
2017-03-04,32
2017-03-05,47
2017-03-06,54
2017-03-07,36
2017-03-08,46
2017-03-09,37
2017-03-10,29
2017-03-11,49
2017-03-12,36
2017-03-13,79
2017-03-14,28
2017-03-15,61
2017-03-16,42
2017-03-17,55
2017-03-18,16
2017-03-19,75
2017-03-20,33
2017-03-21,61
2017-03-22,61
2017-03-23,62
2017-03-24,44
2017-03-25,11
2017-03-26,38
2017-03-27,57
2017-03-28,33
2017-03-29,43
2017-03-30,53
2017-03-31,35
2017-04-01,11
2017-04-02,44
2017-04-03,42
2017-04-04,43
2017-04-05,33
2017-04-06,58
2017-04-07,55
2017-04-08,11
2017-04-09,45
2017-04-10,29
2017-04-11,63
2017-04-12,44
2017-04-13,31
2017-04-14,43
2017-04-15,17
2017-04-16,45
2017-04-17,29
2017-04-18,65
2017-04-19,37
2017-04-20,19
2017-04-21,45
2017-04-22,22
2017-04-23,54
2017-04-24,47
2017-04-25,47
2017-04-26,33
2017-04-27,19
2017-04-28,29
2017-04-29,17
2017-04-30,62
2017-05-01,60
2017-05-02,60
2017-05-03,66
2017-05-04,33
2017-05-05,44
2017-05-06,33
2017-05-07,65
2017-05-08,24
2017-05-09,33
2017-05-10,57
2017-05-11,24
2017-05-12,60
2017-05-13,17
2017-05-14,22
2017-05-15,80
2017-05-16,61
2017-05-17,30
2017-05-18,66
2017-05-19,48
2017-05-20,24
2017-05-21,12
2017-05-22,40
2017-05-23,24
2017-05-24,56
2017-05-25,68
2017-05-26,60
2017-05-27,55
2017-05-28,55
2017-05-29,53
2017-05-30,39
2017-05-31,35
2017-06-01,31
2017-06-02,21
2017-06-03,35
2017-06-04,12
2017-06-05,56
2017-06-06,44
2017-06-07,25
2017-06-08,60
2017-06-09,41
2017-06-10,36
2017-06-11,60
2017-06-12,24
2017-06-13,64
2017-06-14,30
2017-06-15,26
2017-06-16,47
2017-06-17,18
2017-06-18,48
2017-06-19,70
2017-06-20,63
2017-06-21,62
2017-06-22,44
2017-06-23,46
2017-06-24,47
2017-06-25,47
2017-06-26,26
2017-06-27,78
2017-06-28,16
2017-06-29,52
2017-06-30,32
2017-07-01,36
2017-07-02,30
2017-07-03,42
2017-07-04,85
2017-07-05,47
2017-07-06,47
2017-07-07,69
2017-07-08,30
2017-07-09,18
2017-07-10,46
2017-07-11,25
2017-07-12,41
2017-07-13,62
2017-07-14,38
2017-07-15,36
2017-07-16,48
2017-07-17,41
2017-07-18,41
2017-07-19,41
2017-07-20,41
2017-07-21,11
2017-07-22,36
2017-07-23,41
2017-07-24,45
2017-07-25,41
2017-07-26,100
2017-07-27,56
2017-07-28,42
2017-07-29,47
2017-07-30,42
2017-07-31,40
2017-08-01,29
2017-08-02,76
2017-08-03,50
2017-08-04,57
2017-08-05,6
2017-08-06,29
2017-08-07,39
2017-08-08,48
2017-08-09,44
2017-08-10,50
2017-08-11,46
2017-08-12,12
2017-08-13,40
2017-08-14,30
2017-08-15,46
2017-08-16,45
2017-08-17,45
2017-08-18,36
2017-08-19,34
2017-08-20,34
2017-08-21,39
2017-08-22,34
2017-08-23,40
2017-08-24,44
2017-08-25,42
2017-08-26,52
2017-08-27,45
2017-08-28,64
2017-08-29,63
2017-08-30,44
2017-08-31,40
2017-09-01,44
2017-09-02,55
2017-09-03,27
2017-09-04,33
2017-09-05,32
2017-09-06,40
2017-09-07,37
2017-09-08,81
2017-09-09,37
2017-09-10,57
2017-09-11,72
2017-09-12,50
2017-09-13,63
2017-09-14,78
2017-09-15,56
2017-09-16,53
2017-09-17,46
2017-09-18,64
2017-09-19,31
2017-09-20,50
2017-09-21,59
2017-09-22,47
2017-09-23,26
2017-09-24,41
2017-09-25,49
2017-09-26,59
2017-09-27,50
2017-09-28,23
2017-09-29,44
2017-09-30,37
2017-10-01,52
2017-10-02,58
2017-10-03,73
2017-10-04,68
2017-10-05,60
2017-10-06,61
2017-10-07,31
2017-10-08,83
2017-10-09,49
2017-10-10,67
2017-10-11,49
2017-10-12,41
2017-10-13,57
2017-10-14,69
2017-10-15,26
2017-10-16,32
2017-10-17,18
2017-10-18,36
2017-10-19,45
2017-10-20,66
2017-10-21,58
2017-10-22,50
2017-10-23,67
2017-10-24,61
2017-10-25,40
2017-10-26,59
2017-10-27,47
2017-10-28,31
2017-10-29,20
2017-10-30,62
2017-10-31,58
2017-11-01,73
2017-11-02,99
2017-11-03,50
2017-11-04,20
2017-11-05,25
2017-11-06,70
2017-11-07,61
2017-11-08,61
2017-11-09,79
2017-11-10,73
2017-11-11,50
2017-11-12,65
2017-11-13,57
2017-11-14,52
2017-11-15,66
2017-11-16,83
2017-11-17,68
2017-11-18,54
2017-11-19,44
2017-11-20,65
2017-11-21,57
2017-11-22,89
2017-11-23,27
2017-11-24,59
2017-11-25,45
2017-11-26,74
2017-11-27,56
2017-11-28,43
2017-11-29,61
2017-11-30,40
2017-12-01,36
2017-12-02,71
2017-12-03,64
2017-12-04,70
2017-12-05,56
2017-12-06,74
2017-12-07,70
2017-12-08,56
2017-12-09,25
2017-12-10,54
2017-12-11,43
2017-12-12,78
2017-12-13,61
2017-12-14,44
2017-12-15,70
2017-12-16,15
2017-12-17,41
2017-12-18,49
2017-12-19,50
2017-12-20,59
2017-12-21,47
2017-12-22,20
2017-12-23,27
2017-12-24,23
2017-12-25,23
2017-12-26,20
2017-12-27,19
2017-12-28,34
2017-12-29,59
2017-12-30,21
2017-12-31,44
2018-01-01,32
2018-01-02,36
2018-01-03,48
2018-01-04,71
2018-01-05,54
2018-01-06,15
2018-01-07,44
2018-01-08,69
2018-01-09,51
2018-01-10,61
2018-01-11,52
2018-01-12,53
2018-01-13,15
2018-01-14,24
2018-01-15,68
2018-01-16,59
2018-01-17,47
2018-01-18,47
2018-01-19,26
2018-01-20,24
2018-01-21,49
2018-01-22,50
2018-01-23,38
2018-01-24,85
2018-01-25,47
2018-01-26,31
2018-01-27,34
2018-01-28,73
2018-01-29,50
2018-01-30,59
2018-01-31,64
2018-02-01,43
2018-02-02,31
2018-02-03,29
2018-02-04,28
2018-02-05,34
2018-02-06,42
2018-02-07,59
2018-02-08,55
