date,telsa
2016-01-01,5
2016-01-02,6
2016-01-03,8
2016-01-04,10
2016-01-05,8
2016-01-06,7
2016-01-07,9
2016-01-08,15
2016-01-09,11
2016-01-10,11
2016-01-11,9
2016-01-12,9
2016-01-13,8
2016-01-14,7
2016-01-15,11
2016-01-16,10
2016-01-17,10
2016-01-18,12
2016-01-19,7
2016-01-20,1
2016-01-21,13
2016-01-22,7
2016-01-23,6
2016-01-24,2
2016-01-25,12
2016-01-26,7
2016-01-27,7
2016-01-28,6
2016-01-29,6
2016-01-30,9
2016-01-31,7
2016-02-01,4
2016-02-02,12
2016-02-03,12
2016-02-04,6
2016-02-05,6
2016-02-06,18
2016-02-07,11
2016-02-08,8
2016-02-09,4
2016-02-10,8
2016-02-11,18
2016-02-12,14
2016-02-13,7
2016-02-14,8
2016-02-15,10
2016-02-16,11
2016-02-17,5
2016-02-18,4
2016-02-19,5
2016-02-20,10
2016-02-21,11
2016-02-22,5
2016-02-23,8
2016-02-24,7
2016-02-25,16
2016-02-26,17
2016-02-27,6
2016-02-28,8
2016-02-29,12
2016-03-01,5
2016-03-02,14
2016-03-03,6
2016-03-04,6
2016-03-05,7
2016-03-06,5
2016-03-07,8
2016-03-08,11
2016-03-09,7
2016-03-10,5
2016-03-11,13
2016-03-12,3
2016-03-13,7
2016-03-14,8
2016-03-15,12
2016-03-16,12
2016-03-17,10
2016-03-18,5
2016-03-19,6
2016-03-20,9
2016-03-21,9
2016-03-22,5
2016-03-23,10
2016-03-24,6
2016-03-25,11
2016-03-26,8
2016-03-27,12
2016-03-28,8
2016-03-29,9
2016-03-30,8
2016-03-31,31
2016-04-01,100
2016-04-02,46
2016-04-03,18
2016-04-04,32
2016-04-05,26
2016-04-06,15
2016-04-07,24
2016-04-08,8
2016-04-09,11
2016-04-10,10
2016-04-11,14
2016-04-12,16
2016-04-13,13
2016-04-14,16
2016-04-15,12
2016-04-16,8
2016-04-17,9
2016-04-18,10
2016-04-19,20
2016-04-20,13
2016-04-21,8
2016-04-22,13
2016-04-23,9
2016-04-24,15
2016-04-25,6
2016-04-26,3
2016-04-27,12
2016-04-28,12
2016-04-29,8
2016-04-30,11
2016-05-01,5
2016-05-02,12
2016-05-03,9
2016-05-04,12
2016-05-05,10
2016-05-06,9
2016-05-07,6
2016-05-08,11
2016-05-09,7
2016-05-10,8
2016-05-11,6
2016-05-12,11
2016-05-13,8
2016-05-14,7
2016-05-15,7
2016-05-16,7
2016-05-17,6
2016-05-18,10
2016-05-19,10
2016-05-20,11
2016-05-21,8
2016-05-22,11
2016-05-23,7
2016-05-24,5
2016-05-25,13
2016-05-26,10
2016-05-27,10
2016-05-28,6
2016-05-29,14
2016-05-30,6
2016-05-31,8
2016-06-01,6
2016-06-02,12
2016-06-03,6
2016-06-04,6
2016-06-05,7
2016-06-06,6
2016-06-07,5
2016-06-08,8
2016-06-09,7
2016-06-10,11
2016-06-11,8
2016-06-12,9
2016-06-13,8
2016-06-14,5
2016-06-15,5
2016-06-16,5
2016-06-17,6
2016-06-18,10
2016-06-19,6
2016-06-20,6
2016-06-21,10
2016-06-22,9
2016-06-23,7
2016-06-24,7
2016-06-25,11
2016-06-26,7
2016-06-27,6
2016-06-28,11
2016-06-29,11
2016-06-30,14
2016-07-01,24
2016-07-02,19
2016-07-03,13
2016-07-04,14
2016-07-05,8
2016-07-06,6
2016-07-07,6
2016-07-08,10
2016-07-09,4
2016-07-10,8
2016-07-11,8
2016-07-12,8
2016-07-13,7
2016-07-14,8
2016-07-15,6
2016-07-16,4
2016-07-17,10
2016-07-18,9
2016-07-19,8
2016-07-20,14
2016-07-21,7
2016-07-22,10
2016-07-23,10
2016-07-24,5
2016-07-25,7
2016-07-26,10
2016-07-27,9
2016-07-28,9
2016-07-29,12
2016-07-30,5
2016-07-31,13
2016-08-01,8
2016-08-02,11
2016-08-03,9
2016-08-04,9
2016-08-05,9
2016-08-06,8
2016-08-07,8
2016-08-08,3
2016-08-09,7
2016-08-10,9
2016-08-11,5
2016-08-12,6
2016-08-13,11
2016-08-14,13
2016-08-15,5
2016-08-16,5
2016-08-17,13
2016-08-18,8
2016-08-19,8
2016-08-20,6
2016-08-21,4
2016-08-22,2
2016-08-23,4
2016-08-24,21
2016-08-25,9
2016-08-26,6
2016-08-27,13
2016-08-28,8
2016-08-29,6
2016-08-30,8
2016-08-31,7
2016-09-01,36
2016-09-02,43
2016-09-03,76
2016-09-04,20
2016-09-05,30
2016-09-06,41
2016-09-07,42
2016-09-08,48
2016-09-09,68
2016-09-10,48
2016-09-11,34
2016-09-12,60
2016-09-13,41
2016-09-14,66
2016-09-15,36
2016-09-16,68
2016-09-17,60
2016-09-18,39
2016-09-19,58
2016-09-20,58
2016-09-21,41
2016-09-22,41
2016-09-23,56
2016-09-24,68
2016-09-25,54
2016-09-26,51
2016-09-27,46
2016-09-28,47
2016-09-29,35
2016-09-30,67
2016-10-01,47
2016-10-02,71
2016-10-03,76
2016-10-04,57
2016-10-05,46
2016-10-06,69
2016-10-07,30
2016-10-08,53
2016-10-09,26
2016-10-10,41
2016-10-11,40
2016-10-12,59
2016-10-13,75
2016-10-14,60
2016-10-15,40
2016-10-16,20
2016-10-17,23
2016-10-18,68
2016-10-19,40
2016-10-20,74
2016-10-21,24
2016-10-22,41
2016-10-23,46
2016-10-24,79
2016-10-25,63
2016-10-26,75
2016-10-27,70
2016-10-28,42
2016-10-29,60
2016-10-30,93
2016-10-31,71
2016-11-01,89
2016-11-02,47
2016-11-03,68
2016-11-04,78
2016-11-05,39
2016-11-06,38
2016-11-07,68
2016-11-08,45
2016-11-09,47
2016-11-10,46
2016-11-11,36
2016-11-12,59
2016-11-13,52
2016-11-14,51
2016-11-15,46
2016-11-16,45
2016-11-17,75
2016-11-18,82
2016-11-19,84
2016-11-20,71
2016-11-21,50
2016-11-22,39
2016-11-23,56
2016-11-24,41
2016-11-25,53
2016-11-26,39
2016-11-27,68
2016-11-28,70
2016-11-29,81
2016-11-30,49
2016-12-01,61
2016-12-02,51
2016-12-03,25
2016-12-04,24
2016-12-05,50
2016-12-06,31
2016-12-07,38
2016-12-08,61
2016-12-09,40
2016-12-10,64
2016-12-11,73
2016-12-12,22
2016-12-13,65
2016-12-14,22
2016-12-15,39
2016-12-16,71
2016-12-17,26
2016-12-18,46
2016-12-19,28
2016-12-20,63
2016-12-21,47
2016-12-22,36
2016-12-23,68
2016-12-24,7
2016-12-25,43
2016-12-26,18
2016-12-27,53
2016-12-28,77
2016-12-29,60
2016-12-30,62
2016-12-31,34
2017-01-01,35
2017-01-02,18
2017-01-03,62
2017-01-04,100
2017-01-05,45
2017-01-06,69
2017-01-07,56
2017-01-08,37
2017-01-09,49
2017-01-10,53
2017-01-11,54
2017-01-12,43
2017-01-13,45
2017-01-14,61
2017-01-15,55
2017-01-16,48
2017-01-17,26
2017-01-18,32
2017-01-19,49
2017-01-20,44
2017-01-21,43
2017-01-22,66
2017-01-23,63
2017-01-24,37
2017-01-25,21
2017-01-26,32
2017-01-27,39
2017-01-28,49
2017-01-29,60
2017-01-30,57
2017-01-31,48
2017-02-01,68
2017-02-02,53
2017-02-03,44
2017-02-04,30
2017-02-05,83
2017-02-06,57
2017-02-07,79
2017-02-08,57
2017-02-09,59
2017-02-10,44
2017-02-11,60
2017-02-12,30
2017-02-13,47
2017-02-14,94
2017-02-15,65
2017-02-16,79
2017-02-17,63
2017-02-18,30
2017-02-19,67
2017-02-20,36
2017-02-21,73
2017-02-22,84
2017-02-23,48
2017-02-24,55
2017-02-25,30
2017-02-26,36
2017-02-27,77
2017-02-28,72
2017-03-01,35
2017-03-02,55
2017-03-03,37
2017-03-04,30
2017-03-05,53
2017-03-06,50
2017-03-07,59
2017-03-08,46
2017-03-09,77
2017-03-10,59
2017-03-11,60
2017-03-12,34
2017-03-13,34
2017-03-14,89
2017-03-15,79
2017-03-16,47
2017-03-17,44
2017-03-18,48
2017-03-19,59
2017-03-20,83
2017-03-21,52
2017-03-22,62
2017-03-23,58
2017-03-24,98
2017-03-25,55
2017-03-26,36
2017-03-27,42
2017-03-28,47
2017-03-29,37
2017-03-30,43
2017-03-31,72
2017-04-01,25
2017-04-02,55
2017-04-03,47
2017-04-04,68
2017-04-05,62
2017-04-06,48
2017-04-07,27
2017-04-08,55
2017-04-09,31
2017-04-10,48
2017-04-11,53
2017-04-12,59
2017-04-13,79
2017-04-14,54
2017-04-15,37
2017-04-16,56
2017-04-17,71
2017-04-18,68
2017-04-19,67
2017-04-20,37
2017-04-21,11
2017-04-22,36
2017-04-23,47
2017-04-24,99
2017-04-25,52
2017-04-26,57
2017-04-27,26
2017-04-28,60
2017-04-29,37
2017-04-30,43
2017-05-01,34
2017-05-02,24
2017-05-03,37
2017-05-04,42
2017-05-05,33
2017-05-06,37
2017-05-07,6
2017-05-08,25
2017-05-09,27
2017-05-10,34
2017-05-11,43
2017-05-12,38
2017-05-13,31
2017-05-14,17
2017-05-15,33
2017-05-16,29
2017-05-17,32
2017-05-18,31
2017-05-19,25
2017-05-20,16
2017-05-21,12
2017-05-22,24
2017-05-23,23
2017-05-24,18
2017-05-25,30
2017-05-26,23
2017-05-27,28
2017-05-28,16
2017-05-29,27
2017-05-30,28
2017-05-31,39
2017-06-01,45
2017-06-02,31
2017-06-03,12
2017-06-04,42
2017-06-05,18
2017-06-06,36
2017-06-07,15
2017-06-08,20
2017-06-09,37
2017-06-10,34
2017-06-11,37
2017-06-12,36
2017-06-13,20
2017-06-14,26
2017-06-15,19
2017-06-16,35
2017-06-17,19
2017-06-18,46
2017-06-19,15
2017-06-20,35
2017-06-21,30
2017-06-22,35
2017-06-23,40
2017-06-24,37
2017-06-25,25
2017-06-26,16
2017-06-27,16
2017-06-28,19
2017-06-29,24
2017-06-30,36
2017-07-01,15
2017-07-02,34
2017-07-03,44
2017-07-04,35
2017-07-05,27
2017-07-06,22
2017-07-07,41
2017-07-08,54
2017-07-09,47
2017-07-10,31
2017-07-11,39
2017-07-12,32
2017-07-13,27
2017-07-14,22
2017-07-15,22
2017-07-16,38
2017-07-17,38
2017-07-18,24
2017-07-19,34
2017-07-20,13
2017-07-21,36
2017-07-22,34
2017-07-23,21
2017-07-24,26
2017-07-25,24
2017-07-26,18
2017-07-27,24
2017-07-28,38
2017-07-29,88
2017-07-30,67
2017-07-31,36
2017-08-01,28
2017-08-02,49
2017-08-03,20
2017-08-04,29
2017-08-05,30
2017-08-06,24
2017-08-07,23
2017-08-08,37
2017-08-09,30
2017-08-10,23
2017-08-11,37
2017-08-12,41
2017-08-13,45
2017-08-14,18
2017-08-15,24
2017-08-16,21
2017-08-17,36
2017-08-18,24
2017-08-19,15
2017-08-20,32
2017-08-21,28
2017-08-22,38
2017-08-23,23
2017-08-24,21
2017-08-25,14
2017-08-26,30
2017-08-27,6
2017-08-28,28
2017-08-29,38
2017-08-30,28
2017-08-31,38
2017-09-01,8
2017-09-02,18
2017-09-03,9
2017-09-04,27
2017-09-05,17
2017-09-06,22
2017-09-07,33
2017-09-08,36
2017-09-09,17
2017-09-10,23
2017-09-11,27
2017-09-12,33
2017-09-13,27
2017-09-14,30
2017-09-15,21
2017-09-16,23
2017-09-17,26
2017-09-18,30
2017-09-19,34
2017-09-20,27
2017-09-21,25
2017-09-22,42
2017-09-23,40
2017-09-24,17
2017-09-25,15
2017-09-26,32
2017-09-27,25
2017-09-28,23
2017-09-29,32
2017-09-30,35
2017-10-01,23
2017-10-02,12
2017-10-03,13
2017-10-04,27
2017-10-05,15
2017-10-06,33
2017-10-07,20
2017-10-08,31
2017-10-09,20
2017-10-10,41
2017-10-11,34
2017-10-12,23
2017-10-13,31
2017-10-14,35
2017-10-15,37
2017-10-16,17
2017-10-17,17
2017-10-18,22
2017-10-19,13
2017-10-20,23
2017-10-21,20
2017-10-22,25
2017-10-23,37
2017-10-24,24
2017-10-25,29
2017-10-26,15
2017-10-27,44
2017-10-28,14
2017-10-29,39
2017-10-30,22
2017-10-31,25
2017-11-01,28
2017-11-02,20
2017-11-03,41
2017-11-04,25
2017-11-05,24
2017-11-06,12
2017-11-07,19
2017-11-08,29
2017-11-09,34
2017-11-10,10
2017-11-11,8
2017-11-12,16
2017-11-13,41
2017-11-14,24
2017-11-15,22
2017-11-16,39
2017-11-17,100
2017-11-18,99
2017-11-19,54
2017-11-20,75
2017-11-21,48
2017-11-22,29
2017-11-23,32
2017-11-24,50
2017-11-25,28
2017-11-26,22
2017-11-27,28
2017-11-28,35
2017-11-29,29
2017-11-30,34
2017-12-01,33
2017-12-02,38
2017-12-03,36
2017-12-04,34
2017-12-05,26
2017-12-06,29
2017-12-07,34
2017-12-08,33
2017-12-09,25
2017-12-10,27
2017-12-11,19
2017-12-12,38
2017-12-13,17
2017-12-14,29
2017-12-15,25
2017-12-16,17
2017-12-17,30
2017-12-18,29
2017-12-19,30
2017-12-20,28
2017-12-21,21
2017-12-22,27
2017-12-23,27
2017-12-24,43
2017-12-25,31
2017-12-26,3
2017-12-27,39
2017-12-28,29
2017-12-29,30
2017-12-30,23
2017-12-31,30
2018-01-01,17
2018-01-02,5
2018-01-03,17
2018-01-04,22
2018-01-05,14
2018-01-06,19
2018-01-07,15
2018-01-08,15
2018-01-09,19
2018-01-10,10
2018-01-11,27
2018-01-12,14
2018-01-13,19
2018-01-14,19
2018-01-15,10
2018-01-16,22
2018-01-17,17
2018-01-18,8
2018-01-19,19
2018-01-20,15
2018-01-21,19
2018-01-22,17
2018-01-23,20
2018-01-24,18
2018-01-25,22
2018-01-26,18
2018-01-27,25
2018-01-28,21
2018-01-29,20
2018-01-30,15
2018-01-31,10
2018-02-01,20
2018-02-02,17
2018-02-03,13
2018-02-04,34
2018-02-05,25
2018-02-06,46
2018-02-07,100
2018-02-08,35
2018-02-09,42
2018-02-10,15
2018-02-11,50
2018-02-12,29
2018-02-13,17
2018-02-14,19
2018-02-15,30
2018-02-16,21
2018-02-17,10
2018-02-18,21
2018-02-19,12
2018-02-20,27
2018-02-21,20
2018-02-22,15
2018-02-23,17
2018-02-24,19
2018-02-25,15
2018-02-26,21
2018-02-27,18
2018-02-28,11
2018-03-01,24
2018-03-02,20
2018-03-03,17
2018-03-04,17
2018-03-05,23
2018-03-06,11
2018-03-07,16
2018-03-08,20
2018-03-09,26
2018-03-10,15
2018-03-11,21
2018-03-12,21
2018-03-13,11
2018-03-14,13
2018-03-15,17
2018-03-16,19
2018-03-17,15
2018-03-18,17
2018-03-19,21
2018-03-20,16
2018-03-21,13
2018-03-22,10
2018-03-23,17
2018-03-24,33
2018-03-25,16
2018-03-26,27
2018-03-27,12
2018-03-28,17
2018-03-29,20
2018-03-30,28
2018-03-31,28
2018-04-01,20
2018-04-02,25
2018-04-03,23
2018-04-04,15
2018-04-05,20
2018-04-06,27
2018-04-07,17
2018-04-08,13
2018-04-09,21
2018-04-10,15
2018-04-11,21
2018-04-12,17
2018-04-13,14
2018-04-14,19
2018-04-15,15
2018-04-16,18
2018-04-17,10
2018-04-18,20
2018-04-19,21
2018-04-20,14
2018-04-21,20
2018-04-22,19
2018-04-23,15
2018-04-24,8
2018-04-25,10
2018-04-26,20
2018-04-27,18
2018-04-28,14
2018-04-29,25
2018-04-30,25
2018-05-01,24
2018-05-02,7
2018-05-03,30
2018-05-04,12
2018-05-05,20
2018-05-06,10
2018-05-07,25
2018-05-08,18
2018-05-09,17
2018-05-10,22
2018-05-11,19
2018-05-12,20
2018-05-13,19
2018-05-14,23
2018-05-15,25
2018-05-16,20
2018-05-17,24
2018-05-18,11
2018-05-19,20
2018-05-20,16
2018-05-21,12
2018-05-22,26
2018-05-23,20
2018-05-24,14
2018-05-25,18
2018-05-26,14
2018-05-27,16
2018-05-28,17
2018-05-29,18
2018-05-30,12
2018-05-31,19
2018-06-01,23
2018-06-02,22
2018-06-03,18
2018-06-04,25
2018-06-05,25
2018-06-06,13
2018-06-07,22
2018-06-08,26
2018-06-09,27
2018-06-10,10
2018-06-11,29
2018-06-12,14
2018-06-13,17
2018-06-14,16
2018-06-15,14
2018-06-16,23
2018-06-17,15
2018-06-18,21
2018-06-19,21
2018-06-20,23
2018-06-21,8
2018-06-22,9
2018-06-23,13
2018-06-24,19
2018-06-25,16
2018-06-26,20
2018-06-27,22
2018-06-28,22
2018-06-29,22
2018-06-30,10
2018-07-01,6
2018-07-02,10
2018-07-03,15
2018-07-04,17
2018-07-05,21
2018-07-06,13
2018-07-07,26
2018-07-08,27
2018-07-09,17
2018-07-10,14
2018-07-11,20
2018-07-12,17
2018-07-13,16
2018-07-14,18
2018-07-15,12
2018-07-16,24
2018-07-17,13
2018-07-18,31
2018-07-19,23
2018-07-20,25
2018-07-21,22
2018-07-22,20
2018-07-23,14
2018-07-24,22
2018-07-25,15
2018-07-26,22
2018-07-27,16
2018-07-28,25
2018-07-29,16
2018-07-30,17
2018-07-31,15
2018-08-01,13
2018-08-02,23
2018-08-03,19
2018-08-04,14
2018-08-05,23
2018-08-06,20
2018-08-07,20
2018-08-08,39
2018-08-09,26
2018-08-10,21
2018-08-11,19
